,Martin Scorsese,Dennis Dugan,F. Gary Gray,Francois Truffaut,Anthony Minghella,Joe Johnston,James Wan,Hal Ashby,Warren Beatty,Andrei Tarkovsky,Penelope Spheeris,Dutch Verhoeven,Milos Forman,Bill Duke,Mira Nair,Judd Apatow,Wes Anderson,James Gray,Steve McQueen,Jacques Tati,Joe Wright,Curtis Hanson,Celine Sciamma,Preston Sturges,Tony Scott,Jia Zhangke,Mike Leigh,Karyn Kusama,Kelly Reichardt,Gus Van Sant,Oliver Stone,Chris Columbus
♫ Playtime for Tati... and Germany ♫,5,0,1,0,0,1,2,0,3,0,0,1,2,0,1,0,3,0,1,0,2,0,0,1,4,0,1,0,1,0,2,0
Great Scott,2,0,1,0,3,0,1,0,4,0,1,0,2,0,1,0,3,0,0,1,0,1,0,2,5,0,1,0,1,0,0,2
LanceCo,5,0,1,0,0,2,1,0,1,0,2,0,3,0,0,1,3,0,1,0,1,0,2,0,4,0,0,1,1,0,0,2
michdonovan,5,0,1,0,0,2,1,0,2,0,1,0,3,0,0,1,3,0,1,0,2,0,0,1,4,0,1,0,1,0,0,2
deathdrive,5,0,0,1,0,1,2,0,0,2,0,1,0,1,3,0,4,0,0,1,0,1,0,2,3,0,1,0,2,0,0,1
Neochad is the King of Wishful Thinking,4,0,0,1,2,0,1,0,2,0,1,0,3,0,1,0,3,0,1,0,2,0,1,0,5,0,1,0,2,0,1,0
the wolf of pod street cast,5,0,0,1,0,2,0,1,0,2,1,0,1,0,3,0,4,0,1,0,2,0,0,1,0,1,3,0,0,2,1,0
The Taking of Podham 1 Cast 3,4,0,1,0,0,2,1,0,1,0,2,0,3,0,0,1,2,0,1,0,0,3,1,0,5,0,0,1,0,1,0,2
bruce_the_shark,5,0,1,0,2,0,0,1,2,0,1,0,3,0,1,0,4,0,1,0,1,0,2,0,3,0,1,0,0,2,1,0
The Most Accurate Bracket (Brackurate),5,0,0,1,0,1,0,2,3,0,0,1,2,0,0,1,1,0,0,4,1,0,0,2,1,0,3,0,2,0,1,0
element2727,5,0,1,0,0,2,1,0,0,1,2,0,3,0,0,1,4,0,0,1,0,1,0,2,3,0,1,0,2,0,1,0
Glyptodont,5,0,1,0,0,1,2,0,2,0,1,0,1,0,0,3,3,0,0,1,2,0,0,1,4,0,1,0,0,1,2,0
sam.e.whipple,4,0,1,0,0,1,0,2,3,0,1,0,2,0,1,0,5,0,0,1,0,1,2,0,3,0,1,0,2,0,0,1
Tony Scott’s Tots,4,0,1,0,0,1,2,0,2,0,1,0,3,0,1,0,1,0,3,0,1,0,2,0,5,0,1,0,1,0,0,2
Liarock411's Prediction,5,0,1,0,0,1,2,0,2,0,1,0,1,0,0,3,3,0,1,0,2,0,1,0,4,0,0,1,1,0,0,2
Escappy,5,0,1,0,1,0,2,0,1,0,0,3,2,0,0,1,4,0,1,0,0,2,1,0,2,0,0,1,0,1,0,3
I Said Marvel Movies Aren't Podcasts. Let Me Explain. (meandean),5,0,1,0,0,2,1,0,3,0,1,0,2,0,1,0,3,0,1,0,0,2,0,1,4,0,0,1,0,1,0,2
officialgoku,3,0,0,1,0,1,0,2,0,4,0,1,0,1,0,2,3,0,1,0,2,0,0,1,0,1,5,0,2,0,1,0
Wolvie thinks Tony is Unstoppable,4,0,1,0,0,1,2,0,1,0,3,0,2,0,1,0,3,0,1,0,1,0,0,2,5,0,0,1,2,0,1,0
PartyBluejay,5,0,1,0,0,2,0,1,0,2,1,0,3,0,1,0,4,0,1,0,0,2,1,0,3,0,0,1,1,0,0,2
gsmith97,5,0,0,1,0,1,0,2,2,0,1,0,3,0,1,0,3,0,1,0,0,2,0,1,4,0,1,0,0,2,1,0
caillin,5,0,1,0,0,1,2,0,2,0,1,0,1,0,0,3,3,0,0,1,1,0,0,2,4,0,0,1,0,1,2,0
Ion,5,0,1,0,2,0,0,1,2,0,1,0,0,1,3,0,3,0,1,0,2,0,0,1,4,0,1,0,1,0,2,0
punchsoberlove,2,0,1,0,0,4,1,0,2,0,1,0,0,1,0,3,0,2,0,1,1,0,0,3,5,0,0,1,0,1,0,2
Cash,4,0,0,1,0,2,0,1,3,0,1,0,1,0,0,2,3,0,1,0,0,1,0,2,5,0,1,0,1,0,2,0
otooler,0,3,0,1,0,2,0,1,5,0,1,0,2,0,1,0,2,0,0,1,0,1,0,4,3,0,0,1,1,0,2,0
atmbomber,5,0,0,1,1,0,2,0,0,2,1,0,3,0,1,0,4,0,0,1,1,0,2,0,3,0,0,1,0,1,2,0
Aurora's Bracket,4,0,0,1,0,1,0,2,1,0,2,0,3,0,1,0,5,0,1,0,2,0,0,1,3,0,0,1,2,0,0,1
jacob doesn’t live here anymore,5,0,0,1,0,2,0,1,1,0,3,0,2,0,0,1,4,0,0,1,0,1,2,0,3,0,1,0,1,0,0,2
yvonne,4,0,0,1,1,0,2,0,0,1,2,0,1,0,3,0,3,0,0,1,1,0,0,2,5,0,0,1,2,0,1,0
"Berger’s Wacky, wishcasting prediction",4,0,1,0,0,2,0,1,3,0,1,0,2,0,1,0,2,0,1,0,1,0,0,3,5,0,1,0,2,0,1,0
c_driggs6592,5,0,1,0,1,0,0,2,3,0,1,0,2,0,0,1,3,0,1,0,0,1,2,0,4,0,1,0,0,2,0,1
Mightykiko,5,0,0,1,0,1,2,0,3,0,1,0,2,0,1,0,4,0,1,0,0,1,0,2,3,0,1,0,0,2,0,1
March Martin,5,0,0,1,2,0,0,1,3,0,1,0,1,0,0,2,4,0,0,1,0,1,0,2,3,0,1,0,2,0,0,1
The Decline of March Madness: The Loser Year,4,0,1,0,0,1,2,0,1,0,3,0,0,1,2,0,2,0,0,1,3,0,1,0,5,0,0,1,1,0,0,2
The Darjeeling Express,4,0,0,1,0,1,0,2,0,2,1,0,3,0,0,1,5,0,0,1,2,0,1,0,1,0,3,0,2,0,0,1
"louis.iv | ""the king of your favorite podcasters podcast""",5,0,1,0,0,1,0,2,0,2,1,0,3,0,0,1,3,0,0,1,2,0,0,1,4,0,1,0,0,1,0,2
BrockYourSocksOff,5,0,0,1,1,0,0,2,2,0,1,0,3,0,1,0,3,0,1,0,1,0,0,2,4,0,1,0,2,0,1,0
Eóin,5,0,0,1,1,0,0,2,3,0,1,0,2,0,0,1,3,0,1,0,1,0,0,2,4,0,1,0,2,0,1,0
Podemy of Cast State,4,0,1,0,0,1,2,0,0,2,0,1,3,0,1,0,3,0,1,0,2,0,0,1,5,0,1,0,2,0,1,0
dennycolt,5,0,0,1,0,2,1,0,3,0,1,0,2,0,1,0,3,0,1,0,1,0,0,2,4,0,1,0,1,0,2,0
baileybear92,5,0,1,0,2,0,0,1,2,0,1,0,3,0,1,0,3,0,1,0,1,0,2,0,4,0,1,0,2,0,1,0
KTjean,4,0,1,0,0,1,2,0,2,0,1,0,1,0,0,3,3,0,1,0,2,0,1,0,4,0,0,1,1,0,0,2
David The Johnson's Blank Check March Madness 2026 Prediction,5,0,0,1,0,1,0,2,0,3,0,1,1,0,2,0,4,0,1,0,0,1,2,0,1,0,0,2,0,1,3,0
